[2025-10-04 14:40:05] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 08:22:41] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 08:23:11] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 08:23:40] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 08:23:52] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 19:40:09] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 19:40:16] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 19:40:24] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 19:41:12] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 19:41:23] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 19:42:39] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 19:45:14] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 19:45:46] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 19:45:47] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 20:25:27] [INFO] Intento de acceder al login con sesión activa.  | Módulo: login.php | Usuario: Cristopher
[2025-10-05 20:25:33] [INFO] Intento de acceder al login con sesión activa.  | Módulo: login.php | Usuario: Cristopher
[2025-10-05 20:27:48] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 20:27:54] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 20:28:04] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 20:29:04] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 20:29:15] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 20:29:50] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 20:30:12] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 20:37:10] [WARN] Fallo en la autenticación: Usuario o clave inválida | Módulo: login.php | Usuario: Invitado
[2025-10-05 22:11:34] [INFO] Intento de acceder al login con sesión activa.  | Módulo: login.php | Usuario: Cristopher
